Name	Set	ImageFile	Type	Bonus	Slot	Value	Card	Text
Half-Breed2	Bites	bites_door049,bitesdoorback	Door	--	--	--	--	text
Heck Hounds	Bites	bites_door050,bitesdoorback	Door	--	--	--	--	text
Horrific, Steeped in Evil, Yet Somehow Pitiable	Bites	bites_door051,bitesdoorback	Door	--	--	--	--	text
Imp	Bites	bites_door052,bitesdoorback	Door	--	--	--	--	text
Invisible Invisible Invisible	Bites	bites_door053,bitesdoorback	Door	--	--	--	--	text
Jumping Spider	Bites	bites_door054,bitesdoorback	Door	--	--	--	--	text
Luck of the Fae	Bites	bites_door055,bitesdoorback	Door	--	--	--	--	text
Lunar Cycle	Bites	bites_door056,bitesdoorback	Door	--	--	--	--	text
Maggot	Bites	bites_door057,bitesdoorback	Door	--	--	--	--	text
Malediction1	Bites	bites_door058,bitesdoorback	Door	--	--	--	--	text
Malediction2	Bites	bites_door059,bitesdoorback	Door	--	--	--	--	text
Malign Intervention	Bites	bites_door060,bitesdoorback	Door	--	--	--	--	text
Maniac Minion	Bites	bites_door061,bitesdoorback	Door	--	--	--	--	text
Marv	Bites	bites_door062,bitesdoorback	Door	--	--	--	--	text
Meddling Cleric	Bites	bites_door063,bitesdoorback	Door	--	--	--	--	text
Metathesis	Bites	bites_door064,bitesdoorback	Door	--	--	--	--	text
Monster Minion	Bites	bites_door065,bitesdoorback	Door	--	--	--	--	text
Mortal Kom Bat	Bites	bites_door066,bitesdoorback	Door	--	--	--	--	text
Necromancer	Bites	bites_door067,bitesdoorback	Door	--	--	--	--	text
Night-Hag	Bites	bites_door068,bitesdoorback	Door	--	--	--	--	text
Percontation	Bites	bites_door069,bitesdoorback	Door	--	--	--	--	text
Puissance	Bites	bites_door070,bitesdoorback	Door	--	--	--	--	text
Pumpkinhead	Bites	bites_door071,bitesdoorback	Door	--	--	--	--	text
Rodomontade1	Bites	bites_door072,bitesdoorback	Door	--	--	--	--	text
Rodomontade2	Bites	bites_door073,bitesdoorback	Door	--	--	--	--	text
Sense of Impending Doom	Bites	bites_door074,bitesdoorback	Door	--	--	--	--	text
Small Giant Rat	Bites	bites_door075,bitesdoorback	Door	--	--	--	--	text
Sunbeam	Bites	bites_door076,bitesdoorback	Door	--	--	--	--	text
The Darkness	Bites	bites_door077,bitesdoorback	Door	--	--	--	--	text
The Old World Is Gone	Bites	bites_door078,bitesdoorback	Door	--	--	--	--	text
Thesaurus	Bites	bites_door079,bitesdoorback	Door	--	--	--	--	text
Topless Dancer	Bites	bites_door080,bitesdoorback	Door	--	--	--	--	text
Transmogrification	Bites	bites_door081,bitesdoorback	Door	--	--	--	--	text
Trap! Cold Iron	Bites	bites_door082,bitesdoorback	Door	--	--	--	--	text
Trap! Garlic Powder	Bites	bites_door083,bitesdoorback	Door	--	--	--	--	text
Trap! Holy Water	Bites	bites_door084,bitesdoorback	Door	--	--	--	--	text
Trap! Stake-A-Matic	Bites	bites_door085,bitesdoorback	Door	--	--	--	--	text
Trap! Wolfsbane	Bites	bites_door086,bitesdoorback	Door	--	--	--	--	text
Undead	Bites	bites_door087,bitesdoorback	Door	--	--	--	--	text
Urban Cannibal	Bites	bites_door088,bitesdoorback	Door	--	--	--	--	text
Vampire1	Bites	bites_door089,bitesdoorback	Door	--	--	--	--	text
Vampire2	Bites	bites_door090,bitesdoorback	Door	--	--	--	--	text
Vampire3	Bites	bites_door091,bitesdoorback	Door	--	--	--	--	text
Vampire Hunter	Bites	bites_door092,bitesdoorback	Door	--	--	--	--	text
Venomous	Bites	bites_door093,bitesdoorback	Door	--	--	--	--	text
Wandering Monster1	Bites	bites_door094,bitesdoorback	Door	--	--	--	--	text
Wandering Monster2	Bites	bites_door095,bitesdoorback	Door	--	--	--	--	text
We're All Friends Here	Bites	bites_door096,bitesdoorback	Door	--	--	--	--	text
Were-Hamster	Bites	bites_door097,bitesdoorback	Door	--	--	--	--	text
Were-Muskrat	Bites	bites_door098,bitesdoorback	Door	--	--	--	--	text
Werewolf1	Bites	bites_door099,bitesdoorback	Door	--	--	--	--	text
Werewolf2	Bites	bites_door100,bitesdoorback	Door	--	--	--	--	text
Werewolf3	Bites	bites_door101,bitesdoorback	Door	--	--	--	--	text
Wight at the End of the Tunnel	Bites	bites_door102,bitesdoorback	Door	--	--	--	--	text
Wind-Up Skull	Bites	bites_door103,bitesdoorback	Door	--	--	--	--	text
Wom Bat	Bites	bites_door104,bitesdoorback	Door	--	--	--	--	text
Wraith	Bites	bites_door105,bitesdoorback	Door	--	--	--	--	text
Zombie Minion	Bites	bites_door106,bitesdoorback	Door	--	--	--	--	text
Ancestral Memory	Bites	bites_treasure001,bitestreasureback	Treasure	--	--	--	UOO	Go through the discards to find any one card you want.  Take that card and discard this one.
Ankh of Angst	Bites	bites_treasure002,bitestreasureback	Treasure	+2 Bonus	--	600 Gold Pieces	Item	--
Anti-Stake Kevlar	Bites	bites_treasure003,bitestreasureback	Treasure	+2 Bonus	Armor	500 Gold Pieces	Item	Wearer is imune to the Stake-A-Matic trap, and has an extra +2 against the Vampire Hunter.  Kevlar is a registered trademark of DuPont, and is not marketed for use by or against the undead.
Armor of Ennui	Bites	bites_treasure004,bitestreasureback	Treasure	+3 Bonus	Armor	No Value	Item	Your total contempt for everything around you is as good as actual armor.
Armor of Faerie	Bites	bites_treasure005,bitestreasureback	Treasure	+2 Bonus (+3 for Changelings)	Armor	700 Gold Pieces	Item	--
Axe of Contrition	Bites	bites_treasure006,bitestreasureback	Treasure	+2 Bonus	Big; 1 Hand	600 Gold Pieces	Item	--
Bat Bat	Bites	bites_treasure007,bitestreasureback	Treasure	+2 Bonus	1 Hand	700 Gold Pieces	Item	If you face Bats, this weaopn automatically kills one Bat card of your choice, but then adds no bonus for the rest of the combat.  You get the kill and the treasures only if you defeat any remaining monsters.
Beltane Suspenders	Bites	bites_treasure008,bitestreasureback	Treasure	+3 Bonus	--	500 Gold Pieces	Item	Not Usable by Vampire
Black Cauldron	Bites	bites_treasure009,bitestreasureback	Treasure	+3 Bonus	Big; 2 Hands	700 Gold Pieces	Item	Usable by Changeling Only
Black Nail Polish	Bites	bites_treasure010,bitestreasureback	Treasure	+1 Bonus	--	300 Gold Pieces	Item	--
Blood Tonic	Bites	bites_treasure011,bitestreasureback	Treasure	+2 Bonus	--	100 Gold Pieces	UOO	Use during any combat.  +2 to either side.  Usable once only.
Buy Blood-Red Dice	Bites	bites_treasure012,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Cam Shaft	Bites	bites_treasure013,bitestreasureback	Treasure	+1 Bonus	1 Hand	200 Gold Pieces	Item	--
Cape	Bites	bites_treasure014,bitestreasureback	Treasure	+2 Bonus	--	500 Gold Pieces	Item	--
Coffin	Bites	bites_treasure015,bitestreasureback	Treasure	+3 Bonus	Big; 1 Hand	500 Gold Pieces	Item	Usable by Vampire Only.
Complete Set of Obsolete Books	Bites	bites_treasure016,bitestreasureback	Treasure	+2 Bonus	Big; 2 Hands	No Value	Item	Maybe you can, I dunno, drope them on something.
Contemplate Your Hopeless Existence	Bites	bites_treasure017,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Cutting Remark	Bites	bites_treasure018,bitestreasureback	Treasure	+5 Bonus	--	No Value	UOO	Use during any combat.  +5 to either side.  Usable once only.
Dark Compact	Bites	bites_treasure019,bitestreasureback	Treasure	+1 Bonus	--	200 Gold Pieces	Item	--
Dead End	Bites	bites_treasure020,bitestreasureback	Treasure	--	--	--	UOO	But isn't all of life a dead end, really?  Use when someone escapes a combat by Running away or by playing a card that gives an automatic escape or makes the pursuers vanish.  He must Run Away from the monster(s) again.  Usable once only.
Demon Sword	Bites	bites_treasure021,bitestreasureback	Treasure	+3 Bonus	1 Hand	500 Gold Pieces	Item	If you fight multiple Demons, it gives +3 against each one (so +6 against two Demons, and so on.)
Evil Eye Shadow	Bites	bites_treasure022,bitestreasureback	Treasure	+2 Bonus	--	600 Gold Pieces	Item	--
Faery Gold	Bites	bites_treasure023,bitestreasureback	Treasure	--	--	500 Gold Pieces	UOO	Use during any combat.  +3 to aid a Changeling, or allows automatic escape from all monsters in the combat (for one or two players; your choice) without rolling to Run Away.  Usable once only.
Fairy Dust	Bites	bites_treasure024,bitestreasureback	Treasure	--	--	200 Gold Pieces	UOO	Made from real fairies.  Use during any combat.  +5 to either side.  Usable once only.
Fake Wolf Feet	Bites	bites_treasure025,bitestreasureback	Treasure	--	Footgear	400 Gold Pieces	Item	Not Usable by Werewolf.  Allows the wearer to use any items as though he was a Werewolf.  Monsters also react as though the wearer was a Werewolf.  Does not give any other Werewolf abilities or let you use Werewolf-only Powers.
Fangpaste	Bites	bites_treasure026,bitestreasureback	Treasure	+3 Bonus	--	300 Gold Pieces	Item	Not Usable by Changeling.
Finger Claws	Bites	bites_treasure027,bitestreasureback	Treasure	+2 Bonus	1 Hand	400 Gold Pieces	Item	--
Flee Powder	Bites	bites_treasure028,bitestreasureback	Treasure	--	--	300 Gold Pieces	UOO	Use during any combat.  Forces the characters to try to Run Away.  Werewolves are at -1 to this roll.  Usable once only.
Goth Boots	Bites	bites_treasure029,bitestreasureback	Treasure	+2 Bonus	Footgear	800 Gold Pieces	Item	--
Graveyard Mold	Bites	bites_treasure030,bitestreasureback	Treasure	+3 Bonus	--	100 Gold Pieces	UOO	Use during any combat.  +3 to aid a Vampire or any Undead.  Usable once only.
Hair Restorer	Bites	bites_treasure031,bitestreasureback	Treasure	+4 Bonus	--	100 Gold Pieces	UOO	Use during any combat.  +4 to aid a Werewolf.  Usable once only.
Hand-To-Hand Attack	Bites	bites_treasure032,bitestreasureback	Treasure	+3 Bonus	--	300 Gold Pieces	UOO	Play during any combat.  +3 to either side.  Discard after use… except that if you use it against a rival, play rock-paper-scissors with him.  If you win, you get the card back and can use it again in another combat.  If you lose, discard it.
Hoard!	Bites	bites_treasure033,bitestreasureback	Treasure	--	--	--	UOO	Draw three more Treasure cards immediately.  They are face-down if you drew this card face down; otherwise, they are face-up.
Imitate Bela Lugosi	Bites	bites_treasure034,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	You must attempt a Lugosi imitation.  It doesn't have to be any good.
Loaded Die	Bites	bites_treasure035,bitestreasureback	Treasure	--	--	300 Gold Pieces	UOO	Play after ye roll the die, for any reason.  Turn the die so the number of yer choice is on top.  That's yer roll.  Usable once only.
Meaningless Escape	Bites	bites_treasure036,bitestreasureback	Treasure	--	--	--	UOO	Play after you fail a roll to Run Away.  A single monster disappears.  If that was the only monster you Ran Away from in that combat, you may turn around and grab its treasure, but no one gains a level.  Usable once only.
Mock Humans for the Cattle They Are	Bites	bites_treasure037,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	You can't use this if you are human yourself, but you can save it for later.
Perfect Hair	Bites	bites_treasure038,bitestreasureback	Treasure	+1 Bonus (+3 for Werewolves)	Headgear	No Value	Item	--
Potion of Ennui	Bites	bites_treasure039,bitestreasureback	Treasure	--	--	200 Gold Pieces	UOO	Play during any combat.  Discard all monsters in the combat.  These are not kills, and no treasure is gained.  Usable once only.
Potion of Torpor	Bites	bites_treasure040,bitestreasureback	Treasure	+2 Bonus	--	100 Gold Pieces	UOO	Play during any combat.  +2 to either side.  Usable once only.
Praise GM's Morbid Poetry	Bites	bites_treasure041,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Prehistoric Fetish	Bites	bites_treasure042,bitestreasureback	Treasure	+2 Bonus	1 Hand	800 Gold Pieces	Item	--
Primal Chaos	Bites	bites_treasure043,bitestreasureback	Treasure	+1 to +6 Bonus	1 Hand	500 Gold Pieces	Item	Roll the die to see how much combat bonus the Primal Chaos gives you.  This roll is made AFTER everyone agrees they are finished playing cards for or against you.  Making this roll ends the combat.
Punk Hairdo	Bites	bites_treasure044,bitestreasureback	Treasure	+2 Bonus	Headgear	No Value	Item	--
Raise Cain	Bites	bites_treasure045,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Schadenfreudian Slip	Bites	bites_treasure046,bitestreasureback	Treasure	--	Armor	500 Gold Pieces	Item	Usable by Females Only.  May be worn with other armor, but if the other armor is lost, the Slip goes, too.  You go up one level whenever Bad Stuff happens to another player (but only once per combat).  Bad Stuff doesn't count for this if it has no effect on the victim.
Scroll of Depression	Bites	bites_treasure047,bitestreasureback	Treasure	--	--	1,300 Gold Pieces	UOO	Play during any combat.  Causes one monster to wander off in despair and boredom, leaving its treasure behind.  Usable once only.
Slay a Minion	Bites	bites_treasure048,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	You can use this card only if a Minion is in play (no matter who owns him).  Discard the Minion.
Spiffy Italian Loafers	Bites	bites_treasure049,bitestreasureback	Treasure	+1 Bonus	Footgear	500 Gold Pieces	Item	--
Splatbook	Bites	bites_treasure050,bitestreasureback	Treasure	+2 Bonus	2 Hands	600 Gold Pieces	Item	Go up an extra level if you use the Splatbook to slay Gregor, the Maggot, or Frank Limejello.
Sword of Beheading People Just Like In That Movie	Bites	bites_treasure051,bitestreasureback	Treasure	+4 Bonus	Big; 2 Hands	800 Gold Pieces	Item	--
Terrorize Entire City	Bites	bites_treasure052,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Tree	Bites	bites_treasure053,bitestreasureback	Treasure	+4 Bonus	Big; 2 Hands	600 Gold Pieces	Item	Usable by Werewolf Only.  1,001 uses.  Hit things with it.  Climb it.  Hide behind it… OK, three uses.
Trenchcoat	Bites	bites_treasure054,bitestreasureback	Treasure	+1 Bonus	Armor	300 Gold Pieces	Item	--
Virgins' Tears	Bites	bites_treasure055,bitestreasureback	Treasure	+3 Bonus	--	100 Gold Pieces	UOO	Use during any combat.  +3 to either side.  Usable once only.
Visit the Blood Bank	Bites	bites_treasure056,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	--
WishingRing1	Bites	bites_treasure057,bitestreasureback	Treasure	--	--	500 Gold Pieces	UOO	Cancels any curse.  Play at any time.  Usable once only.
Wishing Ring2	Bites	bites_treasure058,bitestreasureback	Treasure	--	--	500 Gold Pieces	UOO	Cancels any curse.  Play at any time.  Usable once only.
Yarmulke of Religious Obfuscation	Bites	bites_treasure059,bitestreasureback	Treasure	+1 Bonus	Headgear	400 Gold Pieces	Item	Wearer is unharmed by Holy Water and gets a +5 against the Vampire Hunter and the Meddling Cleric.
You Look Good Enough To Eat	Bites	bites_treasure060,bitestreasureback	Treasure	Go Up A Level	--	--	GUAL	Pick one player to steal a level from .  You go up one.  He goes down one.
Your Powers Have Grown!1	Bites	bites_treasure061,bitestreasureback	Treasure	--	--	--	UOO	Go through the Door discards, starting at the top, and take the first Power card that you can legally use.
Your Powers Have Grown!2	Bites	bites_treasure062,bitestreasureback	Treasure	--	--	--	UOO	Go through the Door discards, starting at the top, and take the first Power card that you can legally use.
Aegis	Bites 2: Pants Macabre	bites2pm_door001,bitesdoorback	Door	--	--	--	--	text
Bar Ghast	Bites 2: Pants Macabre	bites2pm_door002,bitesdoorback	Door	--	--	--	--	text
Barb-y Doll	Bites 2: Pants Macabre	bites2pm_door003,bitesdoorback	Door	--	--	--	--	text
Bat-Winged	Bites 2: Pants Macabre	bites2pm_door004,bitesdoorback	Door	--	--	--	--	text
Bilocation	Bites 2: Pants Macabre	bites2pm_door005,bitesdoorback	Door	--	--	--	--	text
Celeritousness	Bites 2: Pants Macabre	bites2pm_door006,bitesdoorback	Door	--	--	--	--	text
Changeling1	Bites 2: Pants Macabre	bites2pm_door007,bitesdoorback	Door	--	--	--	--	text
Changeling2	Bites 2: Pants Macabre	bites2pm_door008,bitesdoorback	Door	--	--	--	--	text
Cheat!	Bites 2: Pants Macabre	bites2pm_door009,bitesdoorback	Door	--	--	--	--	text
Commutation	Bites 2: Pants Macabre	bites2pm_door010,bitesdoorback	Door	--	--	--	--	text
Count Strodd the Odd	Bites 2: Pants Macabre	bites2pm_door011,bitesdoorback	Door	--	--	--	--	text
Cricket Bat	Bites 2: Pants Macabre	bites2pm_door012,bitesdoorback	Door	--	--	--	--	text
Crypt Kiddies	Bites 2: Pants Macabre	bites2pm_door013,bitesdoorback	Door	--	--	--	--	text
Curse! Change Race	Bites 2: Pants Macabre	bites2pm_door014,bitesdoorback	Door	--	--	--	--	text
Curse! Change Sex	Bites 2: Pants Macabre	bites2pm_door015,bitesdoorback	Door	--	--	--	--	text
Curse! Lose 1 Big Item	Bites 2: Pants Macabre	bites2pm_door016,bitesdoorback	Door	--	--	--	--	text
Curse! Lose 1 Small Item	Bites 2: Pants Macabre	bites2pm_door017,bitesdoorback	Door	--	--	--	--	text
Curse! Lose A Power	Bites 2: Pants Macabre	bites2pm_door018,bitesdoorback	Door	--	--	--	--	text
Curse! Lose The Armor You Are Wearing	Bites 2: Pants Macabre	bites2pm_door019,bitesdoorback	Door	--	--	--	--	text
Curse! Lose Your Race	Bites 2: Pants Macabre	bites2pm_door020,bitesdoorback	Door	--	--	--	--	text
Curse! Make Stupid Joke With GM's Pet!	Bites 2: Pants Macabre	bites2pm_door021,bitesdoorback	Door	--	--	--	--	text
Doctor Jackal	Bites 2: Pants Macabre	bites2pm_door022,bitesdoorback	Door	--	--	--	--	text
Evil Is A Foot!	Bites 2: Pants Macabre	bites2pm_door023,bitesdoorback	Door	--	--	--	--	text
Exhumation	Bites 2: Pants Macabre	bites2pm_door024,bitesdoorback	Door	--	--	--	--	text
Fanfaronade	Bites 2: Pants Macabre	bites2pm_door025,bitesdoorback	Door	--	--	--	--	text
Flat Bat	Bites 2: Pants Macabre	bites2pm_door026,bitesdoorback	Door	--	--	--	--	text
Gang Grells	Bites 2: Pants Macabre	bites2pm_door027,bitesdoorback	Door	--	--	--	--	text
Gat Bat	Bites 2: Pants Macabre	bites2pm_door028,bitesdoorback	Door	--	--	--	--	text
Ghoul Minion	Bites 2: Pants Macabre	bites2pm_door029,bitesdoorback	Door	--	--	--	--	text
Gnat Bats	Bites 2: Pants Macabre	bites2pm_door030,bitesdoorback	Door	--	--	--	--	text
Grave Robbers	Bites 2: Pants Macabre	bites2pm_door031,bitesdoorback	Door	--	--	--	--	text
Half-Breed1	Bites 2: Pants Macabre	bites2pm_door032,bitesdoorback	Door	--	--	--	--	text
Half-Breed2	Bites 2: Pants Macabre	bites2pm_door033,bitesdoorback	Door	--	--	--	--	text
High School Vampire Slaying Club	Bites 2: Pants Macabre	bites2pm_door034,bitesdoorback	Door	--	--	--	--	text
Horror Hostess	Bites 2: Pants Macabre	bites2pm_door035,bitesdoorback	Door	--	--	--	--	text
Incomprehension	Bites 2: Pants Macabre	bites2pm_door036,bitesdoorback	Door	--	--	--	--	text
Inspiritment	Bites 2: Pants Macabre	bites2pm_door037,bitesdoorback	Door	--	--	--	--	text
Mime	Bites 2: Pants Macabre	bites2pm_door038,bitesdoorback	Door	--	--	--	--	text
Mindless Minion	Bites 2: Pants Macabre	bites2pm_door039,bitesdoorback	Door	--	--	--	--	text
Mini-Minion	Bites 2: Pants Macabre	bites2pm_door040,bitesdoorback	Door	--	--	--	--	text
Mousse and Squirrel	Bites 2: Pants Macabre	bites2pm_door041,bitesdoorback	Door	--	--	--	--	text
Mr. Hide	Bites 2: Pants Macabre	bites2pm_door042,bitesdoorback	Door	--	--	--	--	text
Mummy1	Bites 2: Pants Macabre	bites2pm_door043,bitesdoorback	Door	--	--	--	--	text
Mummy2	Bites 2: Pants Macabre	bites2pm_door044,bitesdoorback	Door	--	--	--	--	text
Mummy3	Bites 2: Pants Macabre	bites2pm_door045,bitesdoorback	Door	--	--	--	--	text
Mummy4	Bites 2: Pants Macabre	bites2pm_door046,bitesdoorback	Door	--	--	--	--	text
Mummy5	Bites 2: Pants Macabre	bites2pm_door047,bitesdoorback	Door	--	--	--	--	text
Nosfertutu	Bites 2: Pants Macabre	bites2pm_door048,bitesdoorback	Door	--	--	--	--	text
Packmates	Bites 2: Pants Macabre	bites2pm_door049,bitesdoorback	Door	--	--	--	--	text
Parapsychologist	Bites 2: Pants Macabre	bites2pm_door050,bitesdoorback	Door	--	--	--	--	text
Perquisition	Bites 2: Pants Macabre	bites2pm_door051,bitesdoorback	Door	--	--	--	--	text
Phat Bat	Bites 2: Pants Macabre	bites2pm_door052,bitesdoorback	Door	--	--	--	--	text
Recrimination	Bites 2: Pants Macabre	bites2pm_door053,bitesdoorback	Door	--	--	--	--	text
Rodomontade	Bites 2: Pants Macabre	bites2pm_door054,bitesdoorback	Door	--	--	--	--	text
Stylishly Dressed	Bites 2: Pants Macabre	bites2pm_door055,bitesdoorback	Door	--	--	--	--	text
Ten Inch Tacks	Bites 2: Pants Macabre	bites2pm_door056,bitesdoorback	Door	--	--	--	--	text
Tergiversation	Bites 2: Pants Macabre	bites2pm_door057,bitesdoorback	Door	--	--	--	--	text
The Evil	Bites 2: Pants Macabre	bites2pm_door058,bitesdoorback	Door	--	--	--	--	text
The Little Death	Bites 2: Pants Macabre	bites2pm_door059,bitesdoorback	Door	--	--	--	--	text
Trap! Lose Your Footgear	Bites 2: Pants Macabre	bites2pm_door060,bitesdoorback	Door	--	--	--	--	text
Trap! Lose Your Headgear	Bites 2: Pants Macabre	bites2pm_door061,bitesdoorback	Door	--	--	--	--	text
Trap! Tattoo Removal	Bites 2: Pants Macabre	bites2pm_door062,bitesdoorback	Door	--	--	--	--	text
Trick or Treaters	Bites 2: Pants Macabre	bites2pm_door063,bitesdoorback	Door	--	--	--	--	text
Vampibrella	Bites 2: Pants Macabre	bites2pm_door064,bitesdoorback	Door	--	--	--	--	text
Vampire1	Bites 2: Pants Macabre	bites2pm_door065,bitesdoorback	Door	--	--	--	--	text
Vampire2	Bites 2: Pants Macabre	bites2pm_door066,bitesdoorback	Door	--	--	--	--	text
Wandering Monster	Bites 2: Pants Macabre	bites2pm_door067,bitesdoorback	Door	--	--	--	--	text
Weepy	Bites 2: Pants Macabre	bites2pm_door068,bitesdoorback	Door	--	--	--	--	text
Were-Penguin	Bites 2: Pants Macabre	bites2pm_door069,bitesdoorback	Door	--	--	--	--	text
Werewolf1	Bites 2: Pants Macabre	bites2pm_door070,bitesdoorback	Door	--	--	--	--	text
Werewolf2	Bites 2: Pants Macabre	bites2pm_door071,bitesdoorback	Door	--	--	--	--	text
Your Old Character	Bites 2: Pants Macabre	bites2pm_door072,bitesdoorback	Door	--	--	--	--	text
Zoomorphification	Bites 2: Pants Macabre	bites2pm_door073,bitesdoorback	Door	--	--	--	--	text
Absinthe	Bites 2: Pants Macabre	bites2pm_treasure001,bitestreasureback	Treasure	+5 Bonus	--	300 Gold Pieces	UOO	Use during any combat.  +5 to either side.  Usable once only.
Air Freshener	Bites 2: Pants Macabre	bites2pm_treasure002,bitestreasureback	Treasure	+2 Bonus	1 Hand	200 Gold Pieces	Item	Not Usable by Vampire
Black Hair Dye	Bites 2: Pants Macabre	bites2pm_treasure003,bitestreasureback	Treasure	+3 Bonus	--	100 Gold Pieces	UOO	Use during any combat.  +3 to either side.  Usable once only.
Blacker than Black	Bites 2: Pants Macabre	bites2pm_treasure004,bitestreasureback	Treasure	+2 Bonus	--	--	Enhancer	Usable by Vampire Only.  This card must be placed with an item that gives a level bonus.  That item is now the Blacker than Black (whatever), and worth an extra +2 in combat.  This card goes with the item if it is lost, stolen, or discarded.
Bloody Mary	Bites 2: Pants Macabre	bites2pm_treasure005,bitestreasureback	Treasure	+3 Bonus	--	100 Gold Pieces	UOO	Use during any combat.  +3 to either side, or +6 to aid a Vampire.  Usable once only.
Dead Battery	Bites 2: Pants Macabre	bites2pm_treasure006,bitestreasureback	Treasure	+1 Bonus	--	No Value	Item	If you hav two Dead items, you get an extra +2.  If you have three, you get an extra +3, and so on.
Dead Friend	Bites 2: Pants Macabre	bites2pm_treasure007,bitestreasureback	Treasure	+2 Bonus	--	No Value	Item	If you hav two Dead items, you get an extra +2.  If you have three, you get an extra +3, and so on.  If at least one munchkin has died in the game, the holder of this card may use it as a +5 Bonus, but it is now Big and takes 2 Hands.
